,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-28T22:06:07Z,2023-09-28T22:06:07Z,Falcon248,This looks unbelievable. We really are in the future.,This looks unbelievable. We really are in the future.,none,1,UCfCx62PRYJeTfDHKy9IWrdg
1,2023-09-28T22:05:53Z,2023-09-28T22:05:53Z,Lysander Spooner,AMAZING,AMAZING,none,0,UCyIb3jCBDsK1mXAGU2x8I2Q
2,2023-09-28T22:05:52Z,2023-09-28T22:05:52Z,MrAidmac,Lex feels like this is 'incredible'...,Lex feels like this is &#39;incredible&#39;...,none,0,UCtN7mMywAROaFX2Nevni0Ng
3,2023-09-28T22:05:41Z,2023-09-28T22:05:41Z,my youtube,I knew you two were robots!,I knew you two were robots!,none,1,UCiX2KmYx6dqLL-xxv4dvIAg
4,2023-09-28T22:05:35Z,2023-09-28T22:05:35Z,Aaron Rose,We are definitely losing our way. Human connection is fucked,We are definitely losing our way. Human connection is fucked,none,0,UC88wjv-mVPSQHkajCKoDndA
5,2023-09-28T22:05:31Z,2023-09-28T22:05:31Z,Christian Dieckmann,"Am I the only one, who is surprised that Lex's Avatar is not wearing a suit?","Am I the only one, who is surprised that Lex&#39;s Avatar is not wearing a suit?",none,0,UCftNVYd8MuMvEjx_jiEbGkw
6,2023-09-28T22:05:26Z,2023-09-28T22:05:26Z,Naranja,"this is another step up from collecting people's data. i guess that's old news now. Meta (formerly facebook) will now be brokering people's personal appearance too! Who's first in line to get scanned???

In a more serious tone:
This seems like the ultimate breach of privacy. What assurances are there that this data Meta is collecting will be used ethically?",this is another step up from collecting people&#39;s data. i guess that&#39;s old news now. Meta (formerly facebook) will now be brokering people&#39;s personal appearance too! Who&#39;s first in line to get scanned???<br><br>In a more serious tone:<br>This seems like the ultimate breach of privacy. What assurances are there that this data Meta is collecting will be used ethically?,none,0,UCkaiM5ySx03y1CwTGaHPskA
7,2023-09-28T22:05:16Z,2023-09-28T22:05:16Z,Tarik Jasim,"ayo we will look back at this 10 years from now, as documentary history","ayo we will look back at this 10 years from now, as documentary history",none,1,UCcOy2dg2rRagzby5HgslzDg
8,2023-09-28T22:04:55Z,2023-09-28T22:04:55Z,Polymath One,Witchcraft!!!,Witchcraft!!!,none,0,UCiUggzR90OV6T8BWhBURG8Q
9,2023-09-28T22:04:45Z,2023-09-28T22:04:56Z,Gregory Hall,ah yes using technology to strong arm the world into revolutionary ages with but forgetting the past and getting with the times for anyone unable they can rot with the old and we can get with the new?,ah yes using technology to strong arm the world into revolutionary ages with but forgetting the past and getting with the times for anyone unable they can rot with the old and we can get with the new?,none,0,UCWU8V_wNjYaAxgavFENzWvg
